image,amusement_Mean,awe_Mean,anger_Mean,attachment love_Mean,craving_Mean,disgust_Mean,excitement_Mean,fear_Mean,joy_Mean,neutral_Mean,nurturant love_Mean,sadness_Mean,positive_Mean,negative_Mean,aroused_Mean,calm_Mean,motivated to approach_Mean,motivated to avoid_Mean,target_emo_ind_score_Mean,amusement_Std,awe_Std,anger_Std,attachment love_Std,craving_Std,disgust_Std,excitement_Std,fear_Std,joy_Std,neutral_Std,nurturant love_Std,sadness_Std,positive_Std,negative_Std,aroused_Std,calm_Std,motivated to approach_Std,motivated to avoid_Std,target_emo_ind_score_Std,n,target_emotion,is_positive valence,is_arousing,is_motivated to approach,target_val,target_aro,target_mot,is_efficient,is_max,is_ai
amusement_new_10.jpg,5.214285714,3.657142857,1.217391304,4.142857143,2.428571429,1.2,3.871428571,1.285714286,5.042253521,2.971428571,4.171428571,1.142857143,5.85915493,1.314285714,2.714285714,4.2,5.214285714,1.514285714,5.214285714,1.776602009,2.166180866,0.638692719,2.094061405,2.06117617,0.67243878,1.962853798,0.853685228,1.710777766,1.970591235,2.035706113,0.490066966,1.245515093,0.808341604,1.866119411,1.938174847,1.824891159,1.138812719,1.776602009,71,Amusement,1,1,1,5.85915493,2.714285714,5.214285714,0,1,True
amusement_new_11.jpg,4.314285714,3.157142857,1.128571429,3.114285714,1.9,1.114285714,3.371428571,1.257142857,4.285714286,2.685714286,2.957142857,1.285714286,5.371428571,1.342857143,2.3,3.457142857,4.485714286,1.485714286,4.314285714,2.046862974,2.230459199,0.447907488,2.242816921,1.77053173,0.525932082,2.015673574,0.715981424,1.927248223,1.892340451,2.129405675,1.023532631,1.803148845,0.976324285,1.788449251,1.968488821,2.237641468,1.2937179,2.046862974,70,Amusement,1,1,1,5.371428571,2.3,4.485714286,0,1,True
amusement_new_12.jpg,4.733333333,2.432432432,1.310810811,1.648648649,1.216216216,1.216216216,2.878378378,1.342465753,3.783783784,2.918918919,1.594594595,1.175675676,4.702702703,1.5,1.918918919,2.013513514,3.773333333,1.97260274,4.733333333,1.975069847,2.081102718,1.005814271,1.379223848,0.745218002,0.781117399,1.774651829,1.07003606,1.939285776,2.039048642,1.384047261,0.782656315,1.72594806,0.954441671,1.382441326,1.583244832,2.239530195,1.683024747,1.975069847,75,Amusement,1,1,1,4.702702703,1.918918919,3.773333333,1,1,True
amusement_new_13.jpg,5.042857143,3.385714286,1.128571429,2.785714286,1.814285714,1.285714286,3.657142857,1.828571429,4.235294118,2.542857143,3.185714286,1.442857143,5.3,1.671428571,2.642857143,2.828571429,3.857142857,1.942857143,5.042857143,2.003154862,2.373115467,0.414289284,2.070446687,1.705004205,0.965234178,2.199378794,1.614889313,2.066922487,1.870330625,2.148763427,1.150119266,1.898512003,1.224406731,2.036163729,1.948402754,2.311193395,1.69300106,2.003154862,70,Amusement,1,1,1,5.3,2.642857143,3.857142857,0,1,True
amusement_new_14.jpg,5.4,3.643835616,1.175675676,3.608108108,1.756756757,1.162162162,3.826666667,1.108108108,5.0,2.438356164,3.918918919,1.189189189,5.581081081,1.310810811,2.121621622,3.986486486,4.716216216,1.527027027,5.4,1.986440522,2.311624387,0.728257596,2.328016191,1.73450724,0.776839876,2.226215631,0.609683672,1.979057015,1.723903044,2.30399746,0.870768448,1.82829179,1.058891585,1.679470748,2.223740174,2.180362357,1.473259112,1.986440522,75,Amusement,1,1,1,5.581081081,2.121621622,4.716216216,0,1,True
amusement_new_15.jpg,5.373333333,3.52,1.2,3.773333333,1.64,1.22972973,3.613333333,1.386666667,5.081081081,1.986666667,4.297297297,1.310810811,6.013333333,1.432432432,1.945945946,4.135135135,5.453333333,1.581081081,5.373333333,1.851028446,2.114045692,0.771099601,2.209153766,1.476299245,0.972882982,1.937491645,1.218032678,1.878185927,1.484089796,1.977474034,0.992101349,1.493167623,1.250545975,1.506987305,2.049552737,1.803100433,1.344769235,1.851028446,75,Amusement,1,1,1,6.013333333,1.945945946,5.453333333,0,1,True
amusement_new_15_midj_af.jpg,4.12,3.533333333,1.356164384,4.16,2.506849315,1.22972973,3.84,1.310810811,4.438356164,3.256756757,4.2,1.246575342,5.337837838,1.383561644,2.452054795,4.25,4.555555556,1.794520548,4.12,2.211517762,2.297668227,0.962777565,2.156323197,1.90848462,0.820078468,2.060175799,0.87469252,1.936393421,2.0410903,2.223948279,0.682740025,1.874683732,0.876072945,1.691819335,2.03317555,2.294444539,1.563106808,2.211517762,75,Amusement,1,1,1,5.337837838,2.452054795,4.555555556,0,0,True
amusement_new_15_midj_as.jpg,4.5,3.018867925,1.245283019,3.444444444,2.185185185,1.296296296,3.326923077,1.388888889,4.185185185,3.169811321,3.87037037,1.320754717,5.074074074,1.592592593,1.886792453,3.796296296,4.490566038,1.716981132,4.5,1.890891773,2.107592192,0.64764842,2.368557133,1.853849377,0.717165006,2.045762276,0.979346464,1.770556613,1.783857629,1.990982466,0.700922055,1.757483749,1.019036143,1.552422144,1.946255521,2.258510754,1.133024518,1.890891773,54,Amusement,1,1,1,5.074074074,1.886792453,4.490566038,0,1,True
amusement_new_15_midj_euna.jpg,4.774647887,3.225352113,1.314285714,3.957746479,1.704225352,1.314285714,3.478873239,1.442857143,4.478873239,3.126760563,4.126760563,1.450704225,5.352112676,1.585714286,2.2,3.571428571,4.285714286,1.695652174,4.774647887,1.829888233,1.994257349,0.956182887,2.052431448,1.258052534,0.893500803,2.055370352,1.058241833,2.069224526,1.827797875,2.124211299,1.105683142,1.732863786,1.160869953,1.602534225,1.982323542,2.201072579,1.309516613,1.829888233,72,Amusement,1,1,1,5.352112676,2.2,4.285714286,0,1,True
amusement_new_15_midj_sa.jpg,4.613333333,3.479452055,1.208333333,3.513888889,2.361111111,1.232876712,3.589041096,1.287671233,4.68,2.986111111,3.863013699,1.246575342,5.426666667,1.356164384,2.486111111,3.849315068,4.602739726,1.561643836,4.613333333,1.930504299,2.180147734,0.579885856,2.096227702,1.697600258,0.717258437,2.005794498,0.754237143,1.831850342,1.917253431,2.022890317,0.662084711,1.620588259,0.918480977,1.799789155,1.941299914,1.948929379,1.247066573,1.930504299,75,Amusement,1,1,1,5.426666667,2.486111111,4.602739726,0,0,True
